student_id,math,physics,class
S1000,40.448221124092804,57.83655219274929,A班
S1001,74.32393012541924,85.51749396465242,A班
S1002,83.74184081783694,56.6768030717043,A班
S1003,89.93832397655282,77.09721528079093,A班
S1004,61.865520313333086,62.89805164110165,A班
S1005,70.47787756476555,71.54483397157976,A班
S1006,78.85911029815215,47.87163282951332,A班
S1007,56.7440111886899,73.92015543682359,A班
S1008,60.67320764530482,69.87647264015209,A班
S1009,66.37018804241275,78.64186542196842,A班
S1010,64.98884775594176,91.17942143662853,A班
S1011,79.15923671520902,70.34042800223273,A班
S1012,82.4600030038167,71.6710155684218,A班
S1013,54.732922327595446,61.089755059215484,A班
S1014,63.17995092086937,65.3278272035844,A班
S1015,73.651452684171,69.82091534256074,A班
S1016,42.236728146109016,72.32447659737979,A班
S1017,76.6342228266285,61.44695748012469,A班
S1018,81.91208014456234,66.40662201599332,A班
S1019,82.67461605014823,71.88546341018908,A班
S1020,68.34775614262921,77.92776421577962,A班
S1021,49.819604775102945,66.02971011657415,A班
S1022,79.63277571729446,55.487808317165346,A班
S1023,74.04208530953039,85.91109502269921,A班
S1024,84.9927280847193,67.53798574070953,A班
S1025,41.627716549026616,64.93505264918088,B班
S1026,70.1574528310327,46.322252666332176,B班
S1027,79.09267708271196,67.97810201464745,B班
S1028,59.34922119191982,69.69808694448072,B班
S1029,67.6689585646532,63.44374784240688,B班
S1030,100.0,79.22388671629362,B班
S1031,85.03484738056096,78.7588362825495,B班
S1032,74.31721061747909,68.010251605196,B班
S1033,83.11812934132793,63.47401156800822,B班
S1034,55.535059849005336,63.19151660207294,B班
S1035,86.54500627787166,46.704966293327715,B班
S1036,97.89091307641375,51.613447382786894,B班
S1037,82.12578766881198,73.76268529478786,B班
S1038,98.84655965391441,82.15143782708867,B班
S1039,66.4831651507394,60.28847568466705,B班
S1040,51.71628582803979,75.62165020082323,B班
S1041,48.23574325078238,69.25146517753956,B班
S1042,49.76441479984126,77.32112740773323,B班
S1043,75.05041637436017,80.94842500601484,B班
S1044,84.29067108896328,73.16591574278635,B班
S1045,86.78320234111769,95.32075625725288,B班
S1046,82.40779846826064,61.544445038847314,B班
S1047,92.01556690520461,74.83006701539205,B班
S1048,71.1323000184738,82.63182814177657,B班
S1049,71.43503921131848,62.029614734956255,B班
